,real,predicted
0,15.390000343322754,15.573434
1,15.270000457763672,15.348527
2,15.430000305175783,15.202462
3,15.47999954223633,15.345239
4,15.5600004196167,15.398378
5,15.499999999999998,15.548063
6,15.720000267028809,15.50412
7,15.699999809265135,15.568231
8,15.59000015258789,15.582336
9,15.380000114440918,15.473563
10,15.300000190734862,15.2682
11,15.270000457763672,15.210145
12,15.470000267028809,15.182182
13,15.760000228881838,15.324242
14,15.550000190734863,15.598628
15,15.670000076293945,15.475545
16,15.369999885559082,15.538086
17,15.270000457763672,15.241872
18,15.4399995803833,15.11197
19,15.720000267028809,15.248133
20,15.609999656677246,15.575715
21,15.539999961853027,15.4957905
22,16.299999237060547,15.4119
23,16.239999771118164,16.152096
24,16.1200008392334,16.140045
25,16.149999618530273,15.964272
26,15.420000076293947,15.981571
27,15.199999809265137,15.397469
28,14.989999771118164,15.094523
29,15.010000228881836,14.919539
30,14.829999923706053,14.925778
31,14.920000076293945,14.799042
32,14.899999618530273,14.987387
33,14.890000343322756,14.940071
34,15.039999961853027,14.829255
35,15.310000419616697,14.925524
36,15.180000305175781,15.161768
37,14.90999984741211,15.0025
38,15.100000381469728,14.745334
39,15.5600004196167,14.9154
40,15.770000457763674,15.412456
41,16.0,15.648485
42,15.789999961853027,15.892644
43,16.020000457763672,15.675479
44,16.450000762939453,15.799703
45,16.360000610351562,16.258486
46,16.739999771118164,16.210005
47,16.479999542236328,16.528547
48,15.989999771118164,16.404934
49,16.09000015258789,15.961967
50,15.949999809265137,15.922189
51,15.4399995803833,15.881811
52,15.399999618530273,15.502766
53,15.619999885559084,15.364412
54,15.670000076293945,15.607968
55,15.65999984741211,15.73424
56,15.720000267028809,15.694301
57,15.770000457763674,15.679418
58,15.90999984741211,15.820808
59,15.760000228881838,16.015902
60,15.920000076293945,15.751558
61,16.079999923706055,15.832479
62,16.329999923706055,16.11721
63,16.020000457763672,16.301918
64,16.049999237060547,15.920221
65,16.0,15.982225
66,15.699999809265135,15.975279
67,15.510000228881834,15.645009
68,15.239999771118164,15.465773
69,15.279999732971193,15.252493
70,15.130000114440918,15.277352
71,15.0,15.064142
72,14.850000381469727,14.950679
73,15.229999542236328,14.824972
74,14.520000457763672,15.152107
75,14.350000381469727,14.97713
76,14.420000076293947,14.686616
77,14.61999988555908,14.527303
78,14.520000457763672,14.681324
79,14.550000190734865,14.714715
