,real,predicted
0,12.1899995803833,12.64529
1,11.850000381469727,12.473987
2,12.100000381469727,12.277445
3,12.640000343322754,12.452305
4,12.390000343322752,13.061571
5,13.0,12.947237
6,12.949999809265138,13.514173
7,13.250000000000002,13.354823
8,12.880000114440918,13.467541
9,12.779999732971191,13.214497
10,12.5600004196167,13.132745
11,12.380000114440918,12.959718
12,13.220000267028809,12.837919
13,13.640000343322754,13.6326065
14,13.319999694824219,13.896521
15,13.439999580383303,13.587704
16,13.390000343322752,13.690319
17,12.869999885559084,13.741346
18,12.75,13.216398
19,12.850000381469725,13.14816
20,12.600000381469728,13.318626
21,13.050000190734863,12.892613
22,13.880000114440918,13.380981
23,14.479999542236328,14.330604
24,14.729999542236328,14.875486
25,14.829999923706055,14.832871
26,14.800000190734863,15.007133
27,14.84000015258789,14.952094
28,14.350000381469727,14.972119
29,13.899999618530275,14.602282
30,13.890000343322754,14.254161
31,14.149999618530273,14.360938
32,14.0,14.509425
33,14.250000000000002,14.290298
34,14.0,14.51203
35,14.63000011444092,14.339903
36,14.039999961853026,14.916121
37,13.850000381469725,14.326159
38,13.180000305175781,14.242959
39,13.880000114440918,13.583477
40,14.180000305175781,14.260115
41,15.039999961853026,14.393634
42,15.11999988555908,15.327066
43,15.380000114440918,15.2775545
44,15.600000381469727,15.471447
45,15.300000190734863,15.725298
46,15.329999923706055,15.361248
47,15.239999771118164,15.517634
48,13.310000419616697,15.414829
49,12.579999923706055,13.750068
50,12.470000267028807,12.850672
51,12.399999618530273,12.804209
52,11.649999618530275,12.594426
53,11.869999885559084,11.700413
54,12.050000190734863,11.890246
55,11.989999771118164,12.095587
56,11.989999771118164,12.229597
57,12.050000190734863,12.438092
58,12.079999923706055,12.417655
59,12.550000190734862,12.533024
60,12.729999542236328,13.057908
61,12.409999847412111,13.034791
62,12.699999809265137,12.712331
63,12.149999618530273,13.449779
64,12.180000305175781,12.830417
65,12.250000000000002,12.709393
66,11.739999771118164,12.99689
67,11.739999771118164,12.701822
68,11.449999809265137,12.403666
69,11.390000343322754,12.070777
70,11.779999732971191,12.010828
71,11.529999732971191,12.222073
72,11.359999656677246,12.065936
73,12.090000152587889,11.808892
74,12.619999885559082,12.301876
75,12.5600004196167,12.956321
76,12.319999694824219,12.838221
77,13.350000381469727,12.618443
78,12.949999809265138,13.691343
79,13.399999618530273,13.324384
80,13.210000038146973,13.74263
81,11.84000015258789,13.373375
82,11.93000030517578,12.264617
83,12.300000190734863,12.192963
84,12.59000015258789,12.2286415
